Theta1,Theta2,Lambda1,Lambda2
1.0849804521363784,-1.0220089505700771,6.902360895818591,2.0677558604992754
1.0866053392297597,-1.020925692507823,6.90734251193847,2.0682107530396263
1.0882644344724752,-1.0198196290126793,6.912403586652816,2.0686700177325728
1.089957737864525,-1.018690760084646,6.91754365299301,2.0691337508873024
1.0916852494059093,-1.0175390857237232,6.922762233040535,2.0696020503929375
1.0934469690966278,-1.016364605929911,6.928058837810174,2.070075015678639
1.0952428969366805,-1.015167320703209,6.933432967131342,2.0705527476729397
1.0970730329260676,-1.0139472300436176,6.938884109527548,2.0710353487623028
1.0989373770647892,-1.0127043339511366,6.94441174209406,2.071522922748899
1.1008359293528451,-1.011438632425766,6.950015330373741,2.07201557480762
1.1027686897902353,-1.0101501254675058,6.955694328231145,2.072513411442323
1.1047356583769599,-1.0088388130763561,6.961448177724838,2.073016540441296
1.1067368351130187,-1.0075046952523168,6.967276308978036,2.073525070831975
1.1087722199984118,-1.006147771995388,6.973178140047517,2.0740391128348827
1.1108418130331394,-1.0047680433055697,6.9791530767909125,2.0745587778168177
1.1129456142172014,-1.0033655091828617,6.9852005127323515,2.0750841782432885
1.1150836235505976,-1.0019401696272643,6.991319828926508,2.075615427630183
1.1172558410333282,-1.0004920246387772,6.997510393821106,2.0761526404947084
1.119462266665393,-0.9990210742174007,7.003771563117864,2.0766959323055727
1.1217029004467922,-0.9975273183631347,7.010102679631993,2.07724541943244
1.123977742377526,-0.9960107570759791,7.016503073150183,2.0778012190946407
1.1262867924575939,-0.9944713903559339,7.022972060287207,2.0783634493091667
1.1286300506869962,-0.9929092182029992,7.029508944341134,2.0789322288379393
1.1310075170657328,-0.9913242406171748,7.036113015147182,2.0795076771343695
1.1334191915938037,-0.9897164575984609,7.042783548930285,2.080089914289201
1.1358650742712089,-0.9880858691468576,7.049519808156394,2.080679060975672
1.1383451650979486,-0.9864324752623647,7.056321041382544,2.081275238393972
1.1408594640740226,-0.9847562759449822,7.063186483105761,2.0818785682150227
1.143407971199431,-0.9830572711947101,7.070115353610818,2.082489172523596
1.1459906864741736,-0.9813354610115484,7.077106858816931,2.0831071737607574
1.1486076098982505,-0.9795908453954972,7.084160190123381,2.0837326946656667
1.1512587414716617,-0.9778234243465564,7.0912745242541755,2.0843658582167395
1.1539440811944073,-0.9760331978647261,7.098449023101739,2.08500678757218
1.1566636290664873,-0.9742201659500062,7.105682833569749,2.0856556060099005
1.1594173850879017,-0.9723843286023968,7.1129750874150925,2.086312436866839
1.1622053492586504,-0.9705256858218978,7.120324901089068,2.086977403477687
1.1650275215787333,-0.9686442376085093,7.127731375577842,2.0876506291130528
1.1678839020481506,-0.9667399839622312,7.135193596242237,2.0883322369170587
1.1707744906669022,-0.9648129248830635,7.1427106326568985,2.0890223498444045
1.1736992874349883,-0.9628630603710062,7.150281538448913,2.089721090596901
1.1766582923524087,-0.9608903904260594,7.157905351135919,2.0904285815595034
1.1796515054191634,-0.958894915048223,7.1655810919638,2.0911449447358526
1.1826789266352524,-0.9568766342374971,7.173307765743976,2.0918703016833495
1.1857405560006757,-0.9548355479938817,7.181084360690433,2.0926047734477855
1.1888363935154334,-0.9527716563173767,7.188909848256474,2.0933484804975366
1.1919664391795255,-0.9506849592079821,7.196783182971313,2.094101542657363
1.195130692992952,-0.948575456665698,7.204703302276587,2.0948640790418187
1.1983291549557127,-0.9464431486905243,7.212669126362801,2.0956362079883077
1.2015618250678077,-0.944288035282461,7.220679558005855,2.0964180469898035
1.204828703329237,-0.9421101164415081,7.228733482403659,2.0972097126272597
1.2081297897400007,-0.9399093921676658,7.236829767012959,2.0980113205017434
1.211465084300099,-0.9376858624609339,7.244967261386439,2.0988229851663105
1.2148345870095314,-0.9354395273213124,7.253144797010155,2.099644820057656
